district_key,state,district_name,unit_key,unit_label,first_year,last_year,is_coverage_gap
Andaman And Nicobar Islands:Nicobars,Andaman And Nicobar Islands,Nicobars,Andaman And Nicobar Islands:Nicobars,Nicobars,2013,2024,False
Andaman And Nicobar Islands:North And Middle Andaman,Andaman And Nicobar Islands,North And Middle Andaman,Andaman And Nicobar Islands:North And Middle Andaman,North And Middle Andaman,2013,2024,False
Andaman And Nicobar Islands:South Andamans,Andaman And Nicobar Islands,South Andamans,Andaman And Nicobar Islands:South Andamans,South Andamans,2013,2024,False
Andhra Pradesh:Alluri Sitharama Raju,Andhra Pradesh,Alluri Sitharama Raju,Andhra Pradesh:Alluri Sitharama Raju,East Godavari + Krishna + Visakhapatnam + West Godavari,2022,2024,False
Andhra Pradesh:Anakapalli,Andhra Pradesh,Anakapalli,Andhra Pradesh:Alluri Sitharama Raju,East Godavari + Krishna + Visakhapatnam + West Godavari,2022,2024,False
Andhra Pradesh:Ananthapuramu,Andhra Pradesh,Ananthapuramu,Andhra Pradesh:Ananthapuramu,Ananthapuramu,2013,2024,False
Andhra Pradesh:Annamayya,Andhra Pradesh,Annamayya,Andhra Pradesh:Annamayya,Chittoor + Guntur + Prakasam + Sri Potti Sriramulu Nellore + Y.S.R. Kadapa,2022,2024,False
Andhra Pradesh:Bapatla,Andhra Pradesh,Bapatla,Andhra Pradesh:Annamayya,Chittoor + Guntur + Prakasam + Sri Potti Sriramulu Nellore + Y.S.R. Kadapa,2022,2024,False
Andhra Pradesh:Chittoor,Andhra Pradesh,Chittoor,Andhra Pradesh:Annamayya,Chittoor + Guntur + Prakasam + Sri Potti Sriramulu Nellore + Y.S.R. Kadapa,2013,2024,False
Andhra Pradesh:Dr. B.R. Ambedkar Konaseema,Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,Andhra Pradesh:Alluri Sitharama Raju,East Godavari + Krishna + Visakhapatnam + West Godavari,2022,2024,False
Andhra Pradesh:East Godavari,Andhra Pradesh,East Godavari,Andhra Pradesh:Alluri Sitharama Raju,East Godavari + Krishna + Visakhapatnam + West Godavari,2013,2024,False
Andhra Pradesh:Eluru,Andhra Pradesh,Eluru,Andhra Pradesh:Alluri Sitharama Raju,East Godavari + Krishna + Visakhapatnam + West Godavari,2022,2024,False
Andhra Pradesh:Guntur,Andhra Pradesh,Guntur,Andhra Pradesh:Annamayya,Chittoor + Guntur + Prakasam + Sri Potti Sriramulu Nellore + Y.S.R. Kadapa,2013,2024,False
Andhra Pradesh:Kakinada,Andhra Pradesh,Kakinada,Andhra Pradesh:Alluri Sitharama Raju,East Godavari + Krishna + Visakhapatnam + West Godavari,2022,2024,False
