district_key,district_name,state,season,sprayable_acres,pp_spray_acres_low,pp_spray_acres_base,pp_spray_acres_high,rank_national,rank_national_low,rank_national_high,rank_in_state,decile,top_crop_1,top_crop_1_share_pct,top_crop_2,top_crop_2_share_pct,top_crop_3,top_crop_3_share_pct,open_crop_share_pct,unit_key,unit_district_count,unit_yoy_area_change_pct,unit_area_ma3_acres
Andaman And Nicobar Islands:Nicobars,Nicobars,Andaman And Nicobar Islands,Kharif,0.66717,0.993342,1.245384,2.49571,1881,1877,1875,5,10,Rice,86.11111111111111,Sugarcane,13.88888888888889,,,,Andaman And Nicobar Islands:Nicobars,1,-73.0,6.811723333333333
Andaman And Nicobar Islands:North And Middle Andaman,North And Middle Andaman,Andaman And Nicobar Islands,Kharif,11323.18453,18716.199082,24454.014284,45171.09079,1366,1321,1386,1,8,Rice,99.40018616863257,Sugarcane,0.3950930054997755,Maize,0.2047208258676586,0.2047208258676586,Andaman And Nicobar Islands:North And Middle Andaman,1,-5.8005470717731855,8487.04486
Andaman And Nicobar Islands:North And Middle Andaman,North And Middle Andaman,Andaman And Nicobar Islands,Rabi,709.32526,705.885628,1411.257288,2829.39384,1740,1750,1747,2,10,Moong,99.96358084352369,Rapeseed & Mustard,0.03641915647630654,,,99.96358084352369,Andaman And Nicobar Islands:North And Middle Andaman,1,-5.8005470717731855,8487.04486
Andaman And Nicobar Islands:South Andamans,South Andamans,Andaman And Nicobar Islands,Kharif,311.00006,349.651442,402.770529,991.56288,1812,1790,1799,3,10,Sugarcane,56.90218958398518,Rice,31.5517273112105,Maize,11.546083104804325,11.546083104804325,Andaman And Nicobar Islands:South Andamans,1,-26.703456288120826,368.9285366666667
Andaman And Nicobar Islands:South Andamans,South Andamans,Andaman And Nicobar Islands,Rabi,0.79072,0.79072,1.58144,3.16288,1880,1878,1874,4,10,Moong,100.0,,,,,100.0,Andaman And Nicobar Islands:South Andamans,1,-26.703456288120826,368.9285366666667
Andhra Pradesh:Alluri Sitharama Raju,Alluri Sitharama Raju,Andhra Pradesh,Kharif,142410.17931,318356.20229,439669.6888234,576449.65658,475,499,632,24,3,Rice,93.36652597511339,Cotton,2.6755811580918594,Groundnut,1.9625037930385465,1.9558383210387766,Andhra Pradesh:Alluri Sitharama Raju,10,-8.023538138791153,3123973.0754166665
Andhra Pradesh:Alluri Sitharama Raju,Alluri Sitharama Raju,Andhra Pradesh,Rabi,4737.00584,8020.1822743,12411.5905949,17845.8103355,1482,1470,1563,51,8,Rice,63.44623015631661,Maize,19.749937779991285,Moong,16.564926342678522,36.3148641226698,Andhra Pradesh:Alluri Sitharama Raju,10,-8.023538138791153,3123973.0754166665
Andhra Pradesh:Anakapalli,Anakapalli,Andhra Pradesh,Kharif,133498.07303,279003.37752,375543.5777898,515435.97168,556,559,681,27,3,Rice,93.89884250327277,Sugarcane,5.56119064607986,Bajra,0.2817651416188697,0.15138793834419328,Andhra Pradesh:Alluri Sitharama Raju,10,-8.023538138791153,3123973.0754166665
Andhra Pradesh:Anakapalli,Anakapalli,Andhra Pradesh,Rabi,10867.85336,15639.7825843,26005.3276049,43556.9112755,1361,1366,1397,50,8,Moong,50.19169178834189,Rice,44.01195969837894,Groundnut,5.074204178652085,50.91383612296898,Andhra Pradesh:Alluri Sitharama Raju,10,-8.023538138791153,3123973.0754166665
Andhra Pradesh:Ananthapuramu,Ananthapuramu,Andhra Pradesh,Kharif,438805.91272,586134.69166,966578.7828424,1775526.96832,189,250,170,4,1,Groundnut,50.58679557005389,Cotton,20.068948477180538,Rice,17.839153084132462,10.79190119125634,Andhra Pradesh:Ananthapuramu,2,-44.102583553551995,1430312.05856
Andhra Pradesh:Ananthapuramu,Ananthapuramu,Andhra Pradesh,Rabi,176557.94142,187367.0754186,362787.2132598,568478.410731,570,717,645,28,4,Gram,67.29467615088419,Groundnut,16.186723862824486,Maize,8.871025571938523,76.66702998730527,Andhra Pradesh:Ananthapuramu,2,-44.102583553551995,1430312.05856
