crop_name,production_unit,unit_weight_kg,source
Bajra,tonnes,1000,"Agricultural Statistics at a Glance 2022, Directorate of Economics & Statistics, Ministry of Agriculture & Farmers Welfare, Government of India (glossary: production in tonnes unless stated as bales). https://desagri.gov.in/wp-content/uploads/2023/05/Agricultural-Statistics-at-a-Glance-2022.pdf"
Barley,tonnes,1000,"Agricultural Statistics at a Glance 2022, Directorate of Economics & Statistics, Ministry of Agriculture & Farmers Welfare, Government of India. https://desagri.gov.in/wp-content/uploads/2023/05/Agricultural-Statistics-at-a-Glance-2022.pdf"
Castorseed,tonnes,1000,"Agricultural Statistics at a Glance 2022, Directorate of Economics & Statistics, Ministry of Agriculture & Farmers Welfare, Government of India. https://desagri.gov.in/wp-content/uploads/2023/05/Agricultural-Statistics-at-a-Glance-2022.pdf"
Cotton,bales,170,"Agricultural Statistics at a Glance 2022, Directorate of Economics & Statistics, Ministry of Agriculture & Farmers Welfare, Government of India (glossary: cotton bale = 170 kg). https://desagri.gov.in/wp-content/uploads/2023/05/Agricultural-Statistics-at-a-Glance-2022.pdf"
Gram,tonnes,1000,"Agricultural Statistics at a Glance 2022, Directorate of Economics & Statistics, Ministry of Agriculture & Farmers Welfare, Government of India. https://desagri.gov.in/wp-content/uploads/2023/05/Agricultural-Statistics-at-a-Glance-2022.pdf"
Groundnut,tonnes,1000,"Agricultural Statistics at a Glance 2022, Directorate of Economics & Statistics, Ministry of Agriculture & Farmers Welfare, Government of India. https://desagri.gov.in/wp-content/uploads/2023/05/Agricultural-Statistics-at-a-Glance-2022.pdf"
Guarseed,tonnes,1000,"Agricultural Statistics at a Glance 2022, Directorate of Economics & Statistics, Ministry of Agriculture & Farmers Welfare, Government of India. https://desagri.gov.in/wp-content/uploads/2023/05/Agricultural-Statistics-at-a-Glance-2022.pdf"
Jowar,tonnes,1000,"Agricultural Statistics at a Glance 2022, Directorate of Economics & Statistics, Ministry of Agriculture & Farmers Welfare, Government of India. https://desagri.gov.in/wp-content/uploads/2023/05/Agricultural-Statistics-at-a-Glance-2022.pdf"
Jute,bales,180,"Agricultural Statistics at a Glance 2022, Directorate of Economics & Statistics, Ministry of Agriculture & Farmers Welfare, Government of India (glossary: jute/mesta bale = 180 kg). https://desagri.gov.in/wp-content/uploads/2023/05/Agricultural-Statistics-at-a-Glance-2022.pdf"
Lentil,tonnes,1000,"Agricultural Statistics at a Glance 2022, Directorate of Economics & Statistics, Ministry of Agriculture & Farmers Welfare, Government of India. https://desagri.gov.in/wp-content/uploads/2023/05/Agricultural-Statistics-at-a-Glance-2022.pdf"
Linseed,tonnes,1000,"Agricultural Statistics at a Glance 2022, Directorate of Economics & Statistics, Ministry of Agriculture & Farmers Welfare, Government of India. https://desagri.gov.in/wp-content/uploads/2023/05/Agricultural-Statistics-at-a-Glance-2022.pdf"
Maize,tonnes,1000,"Agricultural Statistics at a Glance 2022, Directorate of Economics & Statistics, Ministry of Agriculture & Farmers Welfare, Government of India. https://desagri.gov.in/wp-content/uploads/2023/05/Agricultural-Statistics-at-a-Glance-2022.pdf"
Mesta,bales,180,"Agricultural Statistics at a Glance 2022, Directorate of Economics & Statistics, Ministry of Agriculture & Farmers Welfare, Government of India (glossary: jute/mesta bale = 180 kg). https://desagri.gov.in/wp-content/uploads/2023/05/Agricultural-Statistics-at-a-Glance-2022.pdf"
Moong,tonnes,1000,"Agricultural Statistics at a Glance 2022, Directorate of Economics & Statistics, Ministry of Agriculture & Farmers Welfare, Government of India. https://desagri.gov.in/wp-content/uploads/2023/05/Agricultural-Statistics-at-a-Glance-2022.pdf"
Nigerseed,tonnes,1000,"Agricultural Statistics at a Glance 2022, Directorate of Economics & Statistics, Ministry of Agriculture & Farmers Welfare, Government of India. https://desagri.gov.in/wp-content/uploads/2023/05/Agricultural-Statistics-at-a-Glance-2022.pdf"
Other Pulses,tonnes,1000,"Agricultural Statistics at a Glance 2022, Directorate of Economics & Statistics, Ministry of Agriculture & Farmers Welfare, Government of India. https://desagri.gov.in/wp-content/uploads/2023/05/Agricultural-Statistics-at-a-Glance-2022.pdf"
Ragi,tonnes,1000,"Agricultural Statistics at a Glance 2022, Directorate of Economics & Statistics, Ministry of Agriculture & Farmers Welfare, Government of India. https://desagri.gov.in/wp-content/uploads/2023/05/Agricultural-Statistics-at-a-Glance-2022.pdf"
Rapeseed & Mustard,tonnes,1000,"Agricultural Statistics at a Glance 2022, Directorate of Economics & Statistics, Ministry of Agriculture & Farmers Welfare, Government of India. https://desagri.gov.in/wp-content/uploads/2023/05/Agricultural-Statistics-at-a-Glance-2022.pdf"
Rice,tonnes,1000,"Agricultural Statistics at a Glance 2022, Directorate of Economics & Statistics, Ministry of Agriculture & Farmers Welfare, Government of India. https://desagri.gov.in/wp-content/uploads/2023/05/Agricultural-Statistics-at-a-Glance-2022.pdf"
Safflower,tonnes,1000,"Agricultural Statistics at a Glance 2022, Directorate of Economics & Statistics, Ministry of Agriculture & Farmers Welfare, Government of India. https://desagri.gov.in/wp-content/uploads/2023/05/Agricultural-Statistics-at-a-Glance-2022.pdf"
Sannhemp,bales,180,"Agricultural Statistics at a Glance 2022, Directorate of Economics & Statistics, Ministry of Agriculture & Farmers Welfare, Government of India (glossary: sunn hemp bale = 180 kg, same class as jute/mesta). Confirmed against this dataset: Yield = Production x 180 / Area holds for >99% of Sannhemp rows, vs. x1000 for tonnes crops. https://desagri.gov.in/wp-content/uploads/2023/05/Agricultural-Statistics-at-a-Glance-2022.pdf"
Sesamum,tonnes,1000,"Agricultural Statistics at a Glance 2022, Directorate of Economics & Statistics, Ministry of Agriculture & Farmers Welfare, Government of India. https://desagri.gov.in/wp-content/uploads/2023/05/Agricultural-Statistics-at-a-Glance-2022.pdf"
Small Millets,tonnes,1000,"Agricultural Statistics at a Glance 2022, Directorate of Economics & Statistics, Ministry of Agriculture & Farmers Welfare, Government of India. https://desagri.gov.in/wp-content/uploads/2023/05/Agricultural-Statistics-at-a-Glance-2022.pdf"
Soybean,tonnes,1000,"Agricultural Statistics at a Glance 2022, Directorate of Economics & Statistics, Ministry of Agriculture & Farmers Welfare, Government of India. https://desagri.gov.in/wp-content/uploads/2023/05/Agricultural-Statistics-at-a-Glance-2022.pdf"
Sugarcane,tonnes,1000,"Agricultural Statistics at a Glance 2022, Directorate of Economics & Statistics, Ministry of Agriculture & Farmers Welfare, Government of India. https://desagri.gov.in/wp-content/uploads/2023/05/Agricultural-Statistics-at-a-Glance-2022.pdf"
Sunflower,tonnes,1000,"Agricultural Statistics at a Glance 2022, Directorate of Economics & Statistics, Ministry of Agriculture & Farmers Welfare, Government of India. https://desagri.gov.in/wp-content/uploads/2023/05/Agricultural-Statistics-at-a-Glance-2022.pdf"
Tobacco,tonnes,1000,"Agricultural Statistics at a Glance 2022, Directorate of Economics & Statistics, Ministry of Agriculture & Farmers Welfare, Government of India. https://desagri.gov.in/wp-content/uploads/2023/05/Agricultural-Statistics-at-a-Glance-2022.pdf"
Tur,tonnes,1000,"Agricultural Statistics at a Glance 2022, Directorate of Economics & Statistics, Ministry of Agriculture & Farmers Welfare, Government of India. https://desagri.gov.in/wp-content/uploads/2023/05/Agricultural-Statistics-at-a-Glance-2022.pdf"
Urad,tonnes,1000,"Agricultural Statistics at a Glance 2022, Directorate of Economics & Statistics, Ministry of Agriculture & Farmers Welfare, Government of India. https://desagri.gov.in/wp-content/uploads/2023/05/Agricultural-Statistics-at-a-Glance-2022.pdf"
Wheat,tonnes,1000,"Agricultural Statistics at a Glance 2022, Directorate of Economics & Statistics, Ministry of Agriculture & Farmers Welfare, Government of India. https://desagri.gov.in/wp-content/uploads/2023/05/Agricultural-Statistics-at-a-Glance-2022.pdf"
